   0  15.500 Hi 75             
 956  43.    Hi 75             
 957  44.    Hi 75             
 958  45.    Hi 75             
 959  46.    Hi 75             
 960  47.    Hi 75             
 961  48.    Hi 75             
 962  49.    Hi 75             
 963  50.    Hi 75             
 964  51.    Hi 75             
 965  52.    Hi 75 m           
 966  53.    Hi 75             
 967  54.    Hi 75             
 968  55.    Hi 75             
 969  56.    Hi 75             
 970  57.    Hi 75             
 971  58.    Hi 75             
 972  59.    Hi 75             
 973  60.    Hi 75             
 974  61.    Hi 75             
 975  62.    Hi 75 m           
 976  63.    Hi 75             
 977  64.    Hi 75             
 978  65.    Hi 75             
 979  66.    Hi 75             
 980  14.    Hi 75             
 981  15.    Hi 75             
 982  16.    Hi 75 m           
 983  17.    Hi 75             
 984  18.    Hi 75 m           
 985  32.    Hi 75             
 986  33.    Hi 75             
 987  34.    Hi 75             
 988  35.    Hi 75             
 989  36.    Hi 75             
 990  64.    Hi 75             
 991  66.    Hi 75             
 992  67.    Hi 75             
 993  68.    Hi 75             
 994  69.    Hi 75             
 995  70.    Hi 75             
 996  71.    Hi 75             
 997  72.    Hi 75             
 998  73.    Hi 75 m           
 999  74.    Hi 75             
1000  75.    Hi 75             
1001  76.    Hi 75             
1002  77.    Hi 75             
1003  78.    Hi 75             
1004  79.    Hi 75             
1005  80.    Hi 75             
1006  81.    Hi 75             
1007  82.    Hi 75 m           
1008  83.    Hi 75             
1009  84.    Hi 75 m           
1010  85.    Hi 75             
1011  86.    Hi 75             
1012  87.    Hi 75             
1013  88.    Hi 75             
1014  89.    Hi 75             
1015  90.    Hi 75             
1016  91.    Hi 75             
1017  92.    Hi 75             
1018  93.    Hi 75             
1019  94.    Hi 75             
1020  95.    Hi 75             
1021  96.    Hi 75             
1022  97.    Hi 75             
1023  98.    Hi 75 m           
1024  99.    Hi 75             
1025 100.    Hi 75             
1026 101.    Hi 75             
1027 102.    Hi 75             
1028 103.    Hi 75             
1029 104.    Hi 75             
1030 105.    Hi 75             
1031 106.    Hi 75 m           
1032  14.    Hi 75             
1033  15.    Hi 75             
1034  16.    Hi 75 m           
1035  17.    Hi 75             
1036  18.    Hi 75             
1037  32.    Hi 75             
1038  33.    Hi 75             
1039  34.    Hi 75             
